input,intent,response,
tq,penutup,Terima kasih telah bertanya. Senang bisa membantumu :D,
tengkyu,penutup,Terima kasih telah bertanya. Senang bisa membantumu :D,
trmksh,penutup,Terima kasih telah bertanya. Senang bisa membantumu :D,
makasih,penutup,Terima kasih telah bertanya. Senang bisa membantumu :D,
sampai jumpa,penutup,Terima kasih telah bertanya. Senang bisa membantumu :D,
bye,penutup,Terima kasih telah bertanya. Senang bisa membantumu :D,
sayonara,penutup,Terima kasih telah bertanya. Senang bisa membantumu :D,
good bye,penutup,Terima kasih telah bertanya. Senang bisa membantumu :D,
gbye,penutup,Terima kasih telah bertanya. Senang bisa membantumu :D,
thanx,penutup,Terima kasih telah bertanya. Senang bisa membantumu :D,
dadah,penutup,Terima kasih telah bertanya. Senang bisa membantumu :D,
dah,penutup,Terima kasih telah bertanya. Senang bisa membantumu :D,
